# Generated using https://github.com/tstellanova/wmm2015_explorer/
#
# min alt: 1.000000 lat: -90.000000 lon: -180.000000 year: 2019.100000
# max alt: 100.000000 lat: 90.000000 lon: 180.000000 year: 2019.100000 
# step alt: 500.000000 lat: 5.000000 lon: 2.500000 year: 1.000000 
# ===============
# lat_deg, lon_deg, mag_x, mag_y, mag_z 
-85.00, 15.00,	 14044.809,-11587.702,-47763.243 
-85.00, 17.50,	 13548.449,-12121.705,-47874.161 
-85.00, 20.00,	 13027.962,-12635.160,-47993.220 
-85.00, 22.50,	 12484.085,-13126.821,-48120.224 
-85.00, 25.00,	 11917.631,-13595.460,-48254.967 
-85.00, 27.50,	 11329.490,-14039.873,-48397.233 
-85.00, 30.00,	 10720.629,-14458.888,-48546.794 
-85.00, 32.50,	 10092.080,-14851.360,-48703.390 
-85.00, 35.00,	  9444.947,-15216.182,-48866.734 
-85.00, 37.50,	  8780.407,-15552.287,-49036.522 
-85.00, 40.00,	  8099.706,-15858.664,-49212.435 
-85.00, 42.50,	  7404.159,-16134.356,-49394.132 
-85.00, 45.00,	  6695.144,-16378.462,-49581.248 
-85.00, 47.50,	  5974.102,-16590.149,-49773.396 
-85.00, 50.00,	  5242.533,-16768.656,-49970.177 
-85.00, 52.50,	  4501.994,-16913.303,-50171.182 
-85.00, 55.00,	  3754.092,-17023.494,-50375.988 
-85.00, 57.50,	  3000.480,-17098.716,-50584.155 
-85.00, 60.00,	  2242.847,-17138.548,-50795.227 
-85.00, 62.50,	  1482.918,-17142.663,-51008.739 
-85.00, 65.00,	   722.446,-17110.831,-51224.216 
-85.00, 67.50,	   -36.795,-17042.925,-51441.178 
-85.00, 70.00,	  -793.017,-16938.922,-51659.142 
-85.00, 72.50,	 -1544.425,-16798.900,-51877.614 
-85.00, 75.00,	 -2289.223,-16623.045,-52096.101 
-85.00, 77.50,	 -3025.622,-16411.645,-52314.103 
-85.00, 80.00,	 -3751.848,-16165.093,-52531.121 
-85.00, 82.50,	 -4466.147,-15883.888,-52746.660 
-85.00, 85.00,	 -5166.794,-15568.633,-52960.228 
-85.00, 87.50,	 -5852.098,-15220.034,-53171.346 
-85.00, 90.00,	 -6520.414,-14838.892,-53379.536 
-85.00, 92.50,	 -7170.141,-14426.103,-53584.328 
-85.00, 95.00,	 -7799.736,-13982.656,-53785.259 
-85.00, 97.50,	 -8407.713,-13509.626,-53981.885 
-85.00,100.00,	 -8992.659,-13008.175,-54173.779 
-85.00,102.50,	 -9553.227,-12479.540,-54360.526 
-85.00,105.00,	-10088.148,-11925.028,-54541.722 
-85.00,107.50,	-10596.234,-11346.016,-54716.984 
-85.00,110.00,	-11076.378,-10743.940,-54885.949 
-85.00,112.50,	-11527.564,-10120.290,-55048.275 
-85.00,115.00,	-11948.864, -9476.604,-55203.634 
-85.00,117.50,	-12339.438, -8814.458,-55351.719 
-85.00,120.00,	-12698.541, -8135.466,-55492.241 
-85.00,122.50,	-13025.521, -7441.267,-55624.937 
-85.00,125.00,	-13319.824, -6733.525,-55749.569 
-85.00,127.50,	-13580.985, -6013.919,-55865.920 
-85.00,130.00,	-13808.635, -5284.133,-55973.794 
-85.00,132.50,	-14002.498, -4545.857,-56073.016 
-85.00,135.00,	-14162.387, -3800.778,-56163.441 
-85.00,137.50,	-14288.209, -3050.573,-56244.950 
-85.00,140.00,	-14379.953, -2296.904,-56317.439 
-85.00,142.50,	-14437.691, -1541.415,-56380.821 
-85.00,145.00,	-14461.573,  -785.724,-56435.023 
-85.00,147.50,	-14451.829,   -31.423,-56480.005 
-85.00,150.00,	-14408.769,   719.928,-56515.760 
-85.00,152.50,	-14332.773,  1466.804,-56542.294 
-85.00,155.00,	-14224.276,  2207.721,-56559.612 
-85.00,157.50,	-14083.776,  2941.235,-56567.726 
-85.00,160.00,	-13911.835,  3665.941,-56566.690 
-85.00,162.50,	-13709.084,  4380.486,-56556.604 
-85.00,165.00,	-13476.199,  5083.561,-56537.580 
-85.00,167.50,	-13213.889,  5773.906,-56509.696 
-85.00,170.00,	-12922.897,  6450.302,-56473.018 
-85.00,172.50,	-12604.019,  7111.584,-56427.658 
-85.00,175.00,	-12258.105,  7756.640,-56373.801 
-85.00,177.50,	-11886.044,  8384.413,-56311.657 
-85.00,180.00,	-11488.735,  8993.890,-56241.397 
-80.00,-180.00,	 -7809.251,  9381.797,-59503.263 
-80.00,-177.50,	 -7367.209,  9922.019,-59331.052 
-80.00,-175.00,	 -6907.485, 10440.703,-59145.435 
-80.00,-172.50,	 -6431.060, 10937.432,-58946.848 
-80.00,-170.00,	 -5938.882, 11411.825,-58735.705 
-80.00,-167.50,	 -5431.877, 11863.533,-58512.431 
-80.00,-165.00,	 -4910.942, 12292.240,-58277.460 
-80.00,-162.50,	 -4376.945, 12697.638,-58031.190 
-80.00,-160.00,	 -3830.735, 13079.443,-57774.041 
-80.00,-157.50,	 -3273.138, 13437.379,-57506.436 
-80.00,-155.00,	 -2704.966, 13771.180,-57228.812 
-80.00,-152.50,	 -2127.012, 14080.567,-56941.556 
-80.00,-150.00,	 -1540.065, 14365.271,-56645.091 
-80.00,-147.50,	  -944.914, 14625.027,-56339.879 
-80.00,-145.00,	  -342.343, 14859.551,-56026.331 
-80.00,-142.50,	   266.849, 15068.575,-55704.928 
-80.00,-140.00,	   881.856, 15251.815,-55376.125 
-80.00,-137.50,	  1501.852, 15408.986,-55040.384 
-80.00,-135.00,	  2125.988, 15539.817,-54698.217 
-80.00,-132.50,	  2753.389, 15644.020,-54350.080 
-80.00,-130.00,	  3383.146, 15721.347,-53996.525 
-80.00,-127.50,	  4014.320, 15771.579,-53638.158 
-80.00,-125.00,	  4645.934, 15794.491,-53275.508 
-80.00,-122.50,	  5276.976, 15789.892,-52909.136 
-80.00,-120.00,	  5906.392, 15757.633,-52539.632 
-80.00,-117.50,	  6533.099, 15697.626,-52167.638 
-80.00,-115.00,	  7155.981, 15609.837,-51793.813 
-80.00,-112.50,	  7773.888, 15494.272,-51418.774 
-80.00,-110.00,	  8385.645, 15351.008,-51043.160 
-80.00,-107.50,	  8990.062, 15180.207,-50667.650 
-80.00,-105.00,	  9585.942, 14982.118,-50292.944 
-80.00,-102.50,	 10172.087, 14757.072,-49919.752 
-80.00,-100.00,	 10747.297, 14505.470,-49548.737 
-80.00,-97.50,	 11310.394, 14227.811,-49180.585 
-80.00,-95.00,	 11860.234, 13924.694,-48816.012 
-80.00,-92.50,	 12395.689, 13596.773,-48455.647 
-80.00,-90.00,	 12915.695, 13244.811,-48100.172 
-80.00,-87.50,	 13419.237, 12869.637,-47750.225 
-80.00,-85.00,	 13905.346, 12472.134,-47406.381 
-80.00,-82.50,	 14373.153, 12053.284,-47069.280 
-80.00,-80.00,	 14821.854, 11614.105,-46739.495 
-80.00,-77.50,	 15250.699, 11155.629,-46417.493 
-80.00,-75.00,	 15659.054, 10678.960,-46103.804 
-80.00,-72.50,	 16046.387, 10185.231,-45798.956 
-80.00,-70.00,	 16412.221,  9675.557,-45503.363 
-80.00,-67.50,	 16756.189,  9151.073,-45217.468 
-80.00,-65.00,	 17078.011,  8612.898,-44941.678 
-80.00,-62.50,	 17377.467,  8062.121,-44676.343 
-80.00,-60.00,	 17654.436,  7499.811,-44421.824 
-80.00,-57.50,	 17908.844,  6926.985,-44178.432 
-80.00,-55.00,	 18140.669,  6344.613,-43946.438 
-80.00,-52.50,	 18349.952,  5753.617,-43726.129 
-80.00,-50.00,	 18536.761,  5154.860,-43517.756 
-80.00,-47.50,	 18701.202,  4549.151,-43321.576 
-80.00,-45.00,	 18843.429,  3937.252,-43137.891 
-80.00,-42.50,	 18963.561,  3319.849,-42966.926 
-80.00,-40.00,	 19061.701,  2697.569,-42808.883 
-80.00,-37.50,	 19137.955,  2071.001,-42663.997 
-80.00,-35.00,	 19192.431,  1440.694,-42532.541 
-80.00,-32.50,	 19225.188,   807.159,-42414.760 
-80.00,-30.00,	 19236.195,   170.869,-42310.828 
-80.00,-27.50,	 19225.461,  -467.699,-42221.047 
-80.00,-25.00,	 19192.952, -1108.079,-42145.726 
-80.00,-22.50,	 19138.517, -1749.806,-42085.074 
-80.00,-20.00,	 19062.004, -2392.393,-42039.373 
